host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,neighbourhood_cleansed_encoded,amenities_encoded
0,1,81.0,1,1,1,1,1,1,1,0,2.0,7.0,0,1.0,1.0,1.0,676.0,3.0,30,3.0,30.0,0.0,24,47,300,24.0,1.0,4.9,4.95,4.97,4.98,4.95,4.99,4.94,2.0,0.86,5,16919
1,1,100.0,1,1,1,1,0,0,1,1,5.0,7.0,0,1.0,1.0,2.0,344.0,1.6,365,4.0,1125.0,0.0,11,11,247,2.0,0.0,4.8,4.9,4.8,4.65,4.9,4.71,4.8,4.0,0.14,5,19741
1,0,98.0,1,1,1,1,0,1,1,0,7.0,8.0,0,1.3,1.4,1.5,1026.3,2.0,365,2.0,365.0,0.0,17,30,259,2.0,0.0,4.91,4.91,4.89,4.92,4.94,4.78,4.91,7.0,2.07,10,11995
0,0,0.0,0,1,1,1,1,1,1,0,1.0,2.0,0,0.0,0.0,1.0,800.0,1.6,365,5.0,365.0,0.0,0,0,267,0.0,0.0,4.92,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.08,10,3313
0,0,89.0,0,1,1,0,1,1,0,0,1.0,1.0,0,1.0,1.0,1.0,999.0,1.6,365,1.8,365.0,0.0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,7,1018
0,0,89.0,0,1,1,1,1,1,1,0,1.0,1.0,0,1.0,1.0,1.0,800.0,1.6,150,1.8,150.0,1.0,57,87,87,0.0,0.0,4.58,4.69,4.8,4.83,4.67,4.67,4.42,1.0,0.49,2,9980
0,0,67.0,0,1,1,1,0,0,1,0,1.0,3.0,0,2.0,1.0,1.0,618.0,2.0,1125,2.0,1125.0,1.0,60,90,365,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.04,10,14311
0,0,61.0,0,0,1,1,0,1,1,0,10.0,11.0,0,1.3,1.4,1.5,1026.3,1.0,1125,1.0,1125.0,0.0,26,53,316,1.0,0.0,4.83,4.78,4.75,4.94,4.97,4.9,4.79,6.0,1.22,5,12674
1,1,81.0,1,1,1,1,0,1,1,0,3.0,5.0,0,1.0,0.0,2.0,800.0,1.6,1125,4.0,1125.0,0.0,4,34,309,6.0,4.0,4.79,4.9,4.88,4.94,4.89,4.85,4.79,2.0,0.98,2,6162
1,1,100.0,1,1,1,1,1,1,1,0,7.0,7.0,0,1.0,1.0,1.0,1318.0,3.0,1125,3.0,1125.0,0.0,30,55,145,20.0,0.0,4.92,4.88,4.95,4.98,4.98,4.94,4.86,4.0,2.56,5,18151
